user_id,name,age,country,signup_date,user_type
0,Rose Murphy,28,Romania,19-09-2025,Free
1,Jillian Hernandez,19,Brunei Darussalam,29-05-2025,Paid
2,Paul Pitts,38,Ethiopia,25-01-2026,Paid
3,Robert Cruz,44,Cocos (Keeling) Islands,24-07-2025,Free
4,Robert Johnson,25,Uruguay,16-02-2026,Free
5,Corey Clark,40,Mauritius,07-07-2025,Free
6,Nicole Bond,47,Philippines,16-06-2025,Free
7,Michael Gould,36,Malawi,02-07-2025,Paid
8,Elizabeth Smith,38,Malta,15-09-2025,Free
9,Michael Santiago,23,Costa Rica,05-05-2025,Paid
10,Wendy Reynolds,50,Belarus,12-08-2025,Free
11,Victoria Bush,20,Bolivia,18-05-2025,Paid
12,Angel Griffith,37,Jamaica,01-06-2025,Paid
13,Amy Thomas,40,Uruguay,26-01-2026,Free
14,Traci Wells,42,American Samoa,23-10-2025,Free
15,David Adams,42,Cape Verde,26-09-2025,Free
16,Shawn Lewis,35,Senegal,20-06-2025,Free
17,Alfred Wilson,23,Morocco,26-07-2025,Free
18,Tamara Walton,34,Israel,20-08-2025,Free
19,Brandon Young,40,Comoros,23-11-2025,Free
20,Timothy Meyers,39,Mozambique,16-10-2025,Free
21,April Kennedy,21,Aruba,08-07-2025,Free
22,Anna Sosa,42,Malaysia,12-08-2025,Free
23,Tiffany Davis,43,El Salvador,29-04-2026,Free
24,Deanna Grant,20,San Marino,09-09-2025,Free
25,Jason Peters,43,Comoros,14-11-2025,Paid
26,Michael Rogers PhD,47,Paraguay,12-03-2026,Free
27,Erin Holmes,29,Tanzania,23-02-2026,Free
28,Gregory Collins,42,Malaysia,03-11-2025,Free
29,Hannah Atkinson,39,Monaco,04-01-2026,Free
30,William Lee,37,Kazakhstan,25-05-2025,Free
31,Stacy Brennan,22,Burundi,12-12-2025,Free
32,Brandon Dean,38,Kyrgyz Republic,24-02-2026,Free
33,Veronica Knight,24,Georgia,09-03-2026,Paid
34,Michelle Campbell,33,Thailand,20-10-2025,Paid
35,Phillip Bush,29,Malta,21-08-2025,Paid
36,Alexander Sexton,27,Syrian Arab Republic,18-03-2026,Free
37,Pamela Haley,32,Albania,31-05-2025,Free
38,Keith Hill,42,Philippines,22-05-2025,Free
39,Jasmine Green,43,Suriname,27-06-2025,Free
40,Melissa Daugherty,18,Taiwan,16-10-2025,Free
41,Scott Davis,39,Greenland,15-01-2026,Free
42,Gary Flores Jr.,25,Cocos (Keeling) Islands,31-12-2025,Free
43,Mary Davies,43,Singapore,19-04-2026,Paid
44,Alex Ortega,37,Bermuda,08-11-2025,Free
45,Angela Bentley,40,Martinique,23-07-2025,Free
46,Thomas Brady,19,Thailand,01-01-2026,Free
47,Kelsey Lewis,24,Micronesia,12-12-2025,Free
48,Lee Vasquez,26,Christmas Island,22-11-2025,Free
49,David Mckee,38,Oman,21-09-2025,Free
